n02666196	abacus
n03727946	mat, gym mat
n03728437	match, lucifer, friction match
n03729826	matchstick
n03729951	material
n03731019	mattock
n03733131	maypole
n03733281	maze, labyrinth
n03733805	measuring cup
n03735637	measuring stick, measure, measuring rod
n03735963	meat counter
n03736147	meat hook
n03736470	meat thermometer
n03738066	mechanical piano, Pianola, player piano
n03738472	mechanism
n03742019	medicine ball
n03742115	medicine chest, medicine cabinet
n03743016	megalith, megalithic structure
n03743902	memorial, monument
n03744276	memory, computer memory, storage, computer storage, store, memory board
n03744684	memory chip
n03746005	menorah
n03746330	man's clothing
n03748162	mercantile establishment, retail store, sales outlet, outlet
n03751269	mess jacket, monkey jacket, shell jacket
n03751757	metal detector
n03752185	metal screw
n03752398	metal wood
n03752922	meteorological balloon
n03757604	metronome
n03758089	mezzanine, mezzanine floor, entresol
n03758220	mezzanine, first balcony
n03759954	microphone, mike
n03760671	microscope
n03761084	microwave, microwave oven
n03763968	military uniform
n03764736	milk can
n03765128	milking stool
n03765561	mill, grinder, milling machinery
n03766508	millinery, hat shop
n03769881	minibus
n03770439	miniskirt, mini
n03770679	minivan
n03772584	minute hand, big hand
n03773035	mirror
n03773504	missile
n03775071	mitten
n03775546	mixing bowl
n03775636	mixing faucet
n03776460	mobile home, manufactured home
n03777568	Model T
n03777754	modem
n03781244	monastery
n03781683	money belt
n03781787	monitor
n03782006	monitor
n03782190	monitor, monitoring device
n03783873	monoplane
n03784793	mooring tower, mooring mast
n03785016	moped
n03786096	morning dress
n03786621	Morris chair
n03786901	mortar
n03787032	mortarboard
n03788195	mosque
n03788365	mosquito net
n03789400	motion-picture film, movie film, cine-film
n03790230	motorboat, powerboat
n03790512	motorcycle, bike
n03790755	motor hotel, motor inn, motor lodge, tourist court, court
n03790953	motorized wheelchair
n03791053	motor scooter, scooter
n03792048	mound, hill
n03792334	mound, hill, pitcher's mound
n03792782	mountain bike, all-terrain bike, off-roader
n03792972	mountain tent
n03793489	mouse, computer mouse
n03793850	mouse button
n03794056	mousetrap
n03796401	moving van
n03797390	mug
n03798610	multiengine airplane, multiengine plane
n03799375	multistage rocket, step rocket
n03800933	musical instrument, instrument
n03801353	music box, musical box
n03801533	music hall, vaudeville theater, vaudeville theatre
n03801671	music school
n03801760	music stand, music rack
n03801880	music stool, piano stool
n03802228	musket ball, ball
n03803284	muzzle
n03804744	nail
n03805280	nailfile
n03805725	nail polish, nail enamel, nail varnish
n03807537	napkin, table napkin, serviette
n03809312	narrowbody aircraft, narrow-body aircraft, narrow-body
n03814639	neck brace
n03814906	necklace
n03815615	necktie, tie
n03816136	needle
n03819336	nest
n03819595	net, network, mesh, meshing, meshwork
n03819994	net
n03820154	net
n03820318	net
n03822767	Newtonian telescope, Newtonian reflector
n03825442	ninepin ball, skittle ball
n03825788	nipple
n03826186	Nissen hut, Quonset hut
n03831757	nose flute
n03832673	notebook, notebook computer
n03834040	nuclear reactor, reactor
n03836062	nursery, baby's room
n03837422	oar
n03837869	obelisk
n03838899	oboe, hautboy, hautbois
n03840681	ocarina, sweet potato
n03841143	odometer, hodometer, mileometer, milometer
n03841666	office, business office
n03842012	office building, office block
n03842156	office furniture
n03842377	off-line equipment, auxiliary equipment
n03843555	oil filter
n03844815	oilskin, slicker
n03845190	oil tanker, oiler, tanker, tank ship
n03846677	omelet pan, omelette pan
n03847471	onion dome
n03847823	open-air market, open-air marketplace, market square
n03848033	open circuit
n03848168	open-end wrench, tappet wrench
n03850492	operating table
n03851787	optical disk, optical disc
n03852688	optical telescope
n03853924	ordinary, ordinary bicycle
n03854065	organ, pipe organ
n03854815	organ pipe, pipe, pipework
n03855604	O ring
n03857828	oscilloscope, scope, cathode-ray oscilloscope, CRO
n03858418	ottoman, pouf, pouffe, puff, hassock
n03859958	outfit, getup, rig, turnout
n03861842	outside mirror
n03862676	oven
n03863108	overall
n03866082	overskirt
n03868242	oxcart
n03868863	oxygen mask
n03870546	pack
n03870672	pack
n03870980	pack, face pack
n03871628	packet
n03873416	paddle, boat paddle
n03874293	paddlewheel, paddle wheel
n03874599	padlock
n03874823	page printer, page-at-a-time printer
n03875218	paint, pigment
n03875806	paintball
n03876231	paintbrush
n03877472	pajama, pyjama, pj's, jammies
n03877674	pajama, pyjama
n03877845	palace
n03879456	pallet
n03880531	pan, cooking pan
n03884397	panpipe, pandean pipe, syrinx
n03885535	pantry, larder, buttery
n03886762	paper clip, paperclip, gem clip
n03887697	paper towel
n03888257	parachute, chute
n03888605	parallel bars, bars
n03891251	park bench
n03891332	parking meter
n03894379	partition, divider
n03894677	parts bin
n03895866	passenger car, coach, carriage
n03896419	passenger van
n03897943	patch
n03899768	patio, terrace
n03900194	patrol boat, patrol ship
n03900979	pavilion, marquee
n03902125	pay-phone, pay-station
n03903424	pedal, treadle, foot pedal, foot lever
n03903868	pedestal, plinth, footstall
n03904060	pedestal table
n03905947	peg
n03906997	pen
n03908204	pencil
n03908618	pencil box, pencil case
n03908714	pencil sharpener
n03909406	pendulum clock
n03911513	penitentiary, pen
n03911767	penlight
n03912218	pennywhistle, tin whistle, whistle
n03916031	perfume, essence
n03920288	Petri dish
n03920867	pew, church bench
n03924679	photocopier
n03926412	photographic paper, photographic material
n03928116	piano, pianoforte, forte-piano
n03928589	piano action
n03928814	piano keyboard, fingerboard, clavier
n03929091	piccolo
n03929660	pick, plectrum, plectron
n03929855	pickelhaube
n03930313	picket fence, paling
n03930630	pickup, pickup truck
n03931044	picture, image, icon, ikon
n03931885	picture hat
n03931980	picture rail
n03933933	pier
n03935335	piggy bank, penny bank
n03936466	pile driver
n03937543	pill bottle
n03938244	pillow
n03938401	pillow block
n03938522	pillow lace, bobbin lace
n03939062	pilot bit
n03939178	pilot boat
n03939565	pilot engine
n03939844	pilot light, pilot lamp, indicator lamp
n03940256	pin
n03940894	pin, flag
n03941417	pinball machine, pin table
n03942813	ping-pong ball
n03943115	pinion
n03944341	pinwheel
n03945459	tabor pipe
n03945615	pipe
n03945928	pipe cleaner
n03946076	pipe cutter
n03947888	pirate, pirate ship
n03948459	pistol, handgun, side arm, shooting iron
n03950228	pitcher, ewer
n03950647	pitch pipe
n03953020	place of business, business establishment
n03953416	place of worship, house of prayer, house of God, house of worship
n03954731	plane, carpenter's plane, woodworking plane
n03956157	planetarium
n03956922	plant, works, industrial plant
n03958227	plastic bag
n03959701	plate, scale, shell
n03960374	plate, collection plate
n03960490	plate
n03961711	plate rack
n03962852	platform bed
n03962932	platform rocker
n03963645	playground
n03964495	playpen, pen
n03967562	plow, plough
n03967942	plug, stopper, stopple
n03970156	plunger, plumber's helper
n03972524	pocket
n03973628	pocketknife, pocket knife
n03974915	point-and-shoot camera
n03976467	Polaroid camera, Polaroid Land camera
n03976657	pole
n03977158	pole
n03977592	police boat
n03977966	police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria
n03978686	polo mallet, polo stick
n03978966	polo shirt, sport shirt
n03980478	pommel horse, side horse
n03980874	poncho
n03982232	pool ball
n03982430	pool table, billiard table, snooker table
n03983396	pop bottle, soda bottle
n03985232	portable computer
n03988170	post
n03989777	post horn
n03989898	posthouse, post house
n03990474	pot
n03991062	pot, flowerpot
n03991646	potentiometer, pot
n03992509	potter's wheel
n03992703	pottery, clayware
n03993703	pound, dog pound
n03995265	power cord
n03995372	power drill
n03996004	power pack
n03998194	prayer rug, prayer mat
n04000311	press, printing press
n04000592	press box
n04000998	press of sail, press of canvas
n04003241	Primus stove, Primus
n04004475	printer, printing machine
n04004767	printer
n04004990	printer cable
n04005630	prison, prison house
n04008385	production line, assembly line, line
n04008634	projectile, missile
n04009552	projector
n04011827	propeller, propellor
n04012482	propjet, turboprop, turbo-propeller plane
n04018399	public house, pub, saloon, pothouse, gin mill, taphouse
n04018667	public toilet, comfort station, public convenience, convenience, public lavatory, restroom, toilet facility, wash room
n04019541	puck, hockey puck
n04020298	pulley, pulley-block, pulley block, block
n04021028	pullover, slipover
n04021798	pump
n04022434	pump action, slide action
n04023962	punching bag, punch bag, punching ball, punchball
n04025508	pup tent, shelter tent
n04026417	purse
n04026918	push broom
n04027023	push button, push, button
n04028315	puzzle
n04028581	pylon, power pylon
n04028764	pylon
n04030274	pyx, pix, pyx chest, pix chest
n04033901	quill, quill pen
n04033995	quilt, comforter, comfort, puff
n04036303	QWERTY keyboard
n04037443	racer, race car, racing car
n04037964	racing boat
n04038440	rack, stand
n04038727	rack
n04039381	racket, racquet
n04040759	radiator
n04041544	radio, wireless
n04041747	radio antenna, radio aerial
n04043733	radio receiver, receiving set, radio set, radio, tuner, wireless
n04044716	radio telescope, radio reflector
n04045255	radome, radar dome
n04045941	rag, shred, tag, tag end, tatter
n04046590	rail
n04046974	rail fence
n04047401	railing, rail
n04047733	railing
n04047834	railroad bed
n04049303	rain barrel
n04050066	rake
n04051825	rampart, bulwark, wall
n04054670	rasp, wood file
n04058721	read/write head, head
n04059947	rearview mirror
n04061681	reception desk
n04061969	recess, niche
n04063868	recording
n04064401	record player, phonograph
n04065272	recreational vehicle, RV, R.V.
n04065789	recycling bin
n04065909	recycling plant
n04066270	red carpet
n04067472	reel
n04067658	reel
n04069434	reflex camera
n04070727	refrigerator, icebox
n04070964	refrigerator car
n04074963	remote control, remote
n04075291	remote terminal, link-attached terminal, remote station, link-attached station
n04081281	restaurant, eating house, eating place, eatery
n04086273	revolver, six-gun, six-shooter
n04087709	ribbed vault
n04090263	rifle
n04095210	river boat
n04096066	road, route
n04097373	roadster, runabout, two-seater
n04098399	rock bit, roller bit
n04098795	rocker, cradle
n04099429	rocket, projectile
n04099969	rocking chair, rocker
n04101375	roll
n04102037	in-line skate
n04102406	roller coaster, big dipper, chute-the-chute
n04105068	roof
n04105893	room
n04107743	room light
n04108268	rope
n04108822	rope bridge
n04108999	rope tow
n04111531	rotisserie
n04113765	round arch
n04114301	round file
n04115256	row house, town house
n04115456	rowing boat
n04115996	royal mast
n04116512	rubber eraser, rubber, pencil eraser
n04118021	rug, carpet, carpeting
n04118538	rugby ball
n04118635	ruin
n04118776	rule, ruler
n04120489	running shoe
n04120842	runway
n04121228	rushlight, rush candle
n04121426	rya, rya rug
n04123740	saddle
n04124202	saddle blanket, saddlecloth, horse blanket
n04125021	safe
n04126066	safety bicycle, safety bike
n04126980	safety match, book matches
n04127117	safety net
n04127249	safety pin
n04127521	safety razor
n04127633	safety valve, relief valve, escape valve, escape cock, escape
n04127904	sail, canvas, canvass, sheet
n04128413	sail
n04128499	sailboat, sailing boat
n04128837	sailing vessel, sailing ship
n04131208	salon, beauty salon, beauty parlor, beauty parlour, beauty shop
n04131690	saltshaker, salt shaker
n04133789	sandal
n04136333	sarong
n04137444	satellite, artificial satellite, orbiter
n04138977	saucepan
n04140064	saw
n04140631	sawhorse, horse, sawbuck, buck
n04141076	sax, saxophone
n04141327	scabbard
n04141712	scaffolding, staging
n04141975	scale, weighing machine
n04143140	scanner, digital scanner, image scanner
n04144539	scatter rug, throw rug
n04146050	school, schoolhouse
n04146504	school bell
n04146614	school bus
n04146862	school ship, training ship
n04147183	schooner
n04147793	scimitar
n04148054	scissors, pair of scissors
n04148579	sconce
n04148703	sconce
n04149374	scooter
n04149813	scoreboard
n04152387	screen
n04152593	screen, CRT screen
n04153025	screen door, screen
n04153751	screw
n04154565	screwdriver
n04156140	scrub brush, scrubbing brush, scrubber
n04156297	scrub plane
n04158807	sea boat
n04160586	seaplane, hydroplane
n04161358	seat
n04161981	seat
n04162433	seat
n04162706	seat belt, seatbelt
n04164757	second hand
n04164868	secretary, writing table, escritoire, secretaire
n04165675	security blanket
n04165945	security system, security measure, security
n04166281	sedan, saloon
n04168199	Segway, Segway Human Transporter, Segway HT
n04169437	selector, selector switch
n04176068	serving cart
n04176190	serving dish
n04176528	set
n04177041	set gun, spring gun
n04179712	sewing basket
n04179824	sewing kit
n04179913	sewing machine
n04180063	sewing needle
n04180229	sewing room
n04181228	shackle, bond, hamper, trammel
n04182322	shaft
n04183217	shag rug
n04185804	shaver, electric shaver, electric razor
n04185946	shaving brush
n04186051	shaving cream, shaving soap
n04188179	sheet, bed sheet
n04190052	shelf
n04190376	shelf bracket
n04191595	shelter
n04191943	shelter
n04192238	shelter
n04192698	shield, buckler
n04192858	shield
n04194127	shin guard, shinpad
n04194289	ship
n04197391	shirt
n04197781	shirt button
n04199027	shoe
n04200000	shoe
n04200800	shoe shop, shoe-shop, shoe store
n04201297	shoji
n04202417	shop, store
n04204081	shopping bag
n04204238	shopping basket
n04204347	shopping cart
n04204755	short circuit, short
n04205062	short iron
n04205318	short pants, shorts, trunks
n04206790	shot tower
n04208210	shovel
n04208936	shower
n04209133	shower cap
n04209239	shower curtain
n04209509	shower room
n04209613	shower stall, shower bath
n04210120	shredder
n04211356	shutter
n04211528	shutter
n04212165	shuttle bus
n04212282	shuttlecock, bird, birdie, shuttle
n04213105	sickbay, sick berth
n04215402	sidewalk, pavement
n04216634	sieve, screen
n04217882	signboard, sign
n04220250	silo
n04222210	single bed
n04224543	sister ship
n04225987	skateboard
n04228054	ski
n04228581	ski boot
n04229816	ski mask
n04230487	ski-plane
n04230603	ski pole
n04230808	skirt
n04231693	ski tow, ski lift, lift
n04232800	skylight, fanlight
n04233124	skyscraper
n04235860	sleeping bag
n04236377	sleeve, arm
n04238128	slide, playground slide, sliding board
n04238617	slide projector
n04238763	slide rule, slipstick
n04239074	sliding door
n04239333	sliding window
n04239436	sling, scarf bandage, triangular bandage
n04241394	slipper, carpet slipper
n04241573	slip ring
n04243546	slot, one-armed bandit
n04243941	slot machine, coin machine
n04244997	small boat
n04245218	small computer system interface, SCSI
n04245508	small stores
n04246731	smokehouse, meat house
n04247011	smoke screen, smokescreen
n04247736	snack bar, snack counter, buffet
n04249415	snare drum, snare, side drum
n04251144	snorkel
n04251701	snowbank, snow bank
n04251791	snowboard
n04252077	snowmobile
n04252225	snowplow, snowplough
n04252331	snowshoe
n04254009	soap dish
n04254120	soap dispenser
n04254450	soap pad
n04254680	soccer ball
n04254777	sock
n04255670	soda fountain
n04255768	soda fountain
n04256520	sofa, couch, lounge
n04257223	soft pedal
n04258138	solar dish, solar collector, solar furnace
n04259630	sombrero
n04261638	sound camera
n04263257	soup bowl
n04264628	space bar
n04265275	space heater
n04266014	space shuttle
n04266162	space station, space platform, space laboratory
n04270147	spatula
n04272054	spectacles, specs, eyeglasses, glasses
n04273569	speedboat
n04275548	spider web, spider's web
n04277352	spindle
n04279353	spinning rod
n04280487	spirit stove
n04282872	split rail, fence rail
n04284002	spoon
n04284341	spoon
n04285008	sports car, sport car
n04285146	sports equipment
n04285965	sport utility, sport utility vehicle, S.U.V., SUV
n04286575	spotlight, spot
n04288272	spring
n04292080	square sail
n04292414	squash racket, squash racquet, bat
n04292572	squawk box, squawker, intercom speaker
n04294879	stable, stalls, horse barn
n04295881	stadium, bowl, arena, sports stadium
n04296562	stage
n04297098	stagecoach, stage
n04299215	stall, stand, sales booth
n04299370	stall
n04299963	stamp
n04301000	stand
n04304215	starship, spaceship
n04304680	starting gate, starting stall
n04308084	stealth aircraft
n04310018	steam locomotive
n04310157	steamroller, road roller
n04311004	steel arch bridge
n04311174	steel drum
n04312154	steelyard, lever scale, beam scale
n04313503	steering wheel, wheel
n04314107	stem-winder
n04314914	step, stair
n04315342	step-down transformer
n04315713	step stool
n04315828	step-up transformer
n04317175	stethoscope
n04317420	stick
n04317833	stick
n04317976	stick, control stick, joystick
n04318131	stick
n04318892	stiletto
n04322801	stock car
n04325704	stole
n04326547	stone wall
n04326896	stool
n04328186	stopwatch, stop watch
n04330267	stove
n04330340	stove, kitchen stove, range, kitchen range, cooking stove
n04331277	straight chair, side chair
n04332074	straight razor
n04332243	strainer
n04334105	strapless
n04334599	street
n04335209	street
n04335435	streetcar, tram, tramcar, trolley, trolley car
n04335693	street clothes
n04335886	streetlight, street lamp
n04336792	stretcher
n04341686	structure, construction
n04344873	studio couch, day bed
n04345028	study
n04346328	stupa, tope
n04347754	submarine, pigboat, sub, U-boat
n04349306	subway train
n04350458	suede cloth, suede
n04350769	sugar spoon, sugar shell
n04350905	suit, suit of clothes
n04351550	suite, rooms
n04355115	Sunday best, Sunday clothes
n04355267	sun deck
n04355338	sundial
n04355821	sun gear
n04355933	sunglass
n04356056	sunglasses, dark glasses, shades
n04356595	sunhat, sun hat
n04356925	sun parlor, sun parlour, sun porch, sunporch, sunroom, sun lounge, solarium
n04357314	sunscreen, sunblock, sun blocker
n04358707	supermarket
n04359589	support
n04360798	support column
n04360914	support hose, support stocking
n04363082	surface ship
n04363210	surface-to-air missile, SAM
n04366033	sushi bar
n04366367	suspension bridge
n04367011	sustaining pedal, loud pedal
n04367480	swab, swob, mop
n04370048	sweater, jumper
n04370456	sweatshirt
n04371430	swimming trunks, bathing trunks
n04371774	swing
n04372370	switch, electric switch, electrical switch
n04373089	switchblade, switchblade knife, flick-knife, flick knife
n04373428	switch engine, donkey engine
n04373704	swivel chair
n04373894	sword, blade, brand, steel
n04374735	synagogue, temple, tabernacle
n04376400	synthesizer, synthesiser
n04376876	syringe
n04379243	table
n04379964	table
n04380346	table knife
n04380533	table lamp
n04381587	table-tennis table, ping-pong table, pingpong table
n04381724	table-tennis racquet, table-tennis bat, pingpong paddle
n04382438	taboret, tabouret
n04388743	tank, storage tank
n04389033	tank, army tank, armored combat vehicle, armoured combat vehicle
n04389521	tank car, tank
n04389854	tank engine, tank locomotive
n04390977	tap, spigot
n04391838	tape, tape recording, taping
n04392113	tape, tapeline, tape measure
n04392985	tape player
n04393913	tap wrench
n04395875	tavern, tap house
n04397027	tea cart, teacart, tea trolley, tea wagon
n04398044	teapot
n04399046	tea tray
n04399382	teddy, teddy bear
n04401088	telephone, phone, telephone set
n04402057	telephone line, phone line, telephone circuit, subscriber line, line
n04402449	telephone pole, telegraph pole, telegraph post
n04402746	telephone system, phone system
n04402984	telephone wire, telephone line, telegraph wire, telegraph line
n04404412	television, television system
n04404997	television camera, tv camera, camera
n04405540	television equipment, video equipment
n04405762	television monitor, tv monitor
n04405907	television receiver, television, television set, tv, tv set, idiot box, boob tube, telly, goggle box
n04406239	television room, tv room
n04407435	temple
n04407686	temple
n04409011	tender, supply ship
n04409128	tender, ship's boat, pinnace, cutter
n04409515	tennis ball
n04409625	tennis camp
n04409806	tennis racket, tennis racquet
n04411264	tent, collapsible shelter
n04412097	tent-fly, rainfly, fly sheet, fly, tent flap
n04414476	terry, terry cloth, terrycloth
n04415257	test equipment
n04415663	test rocket, research rocket, test instrument vehicle
n04415815	test room, testing room
n04417672	thatch, thatched roof
n04418357	theater curtain, theatre curtain
n04421872	thermometer
